reference,Category,NCSP Category (Search output),Parameter  (Search output),First,Second,Sub-category,reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards,Food Search Output (Code),Food Search Output (Description),Number of alerts,COMMENT ON FOOD CLASSIFICATION,COMMENT ON PARAMETER CLASSIFICATION,Amended FoodEx2 Code,Amended FoodEx2 Description
2023.6683,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6683,fish and fish products,food,mercury (1.9 mg/kg - ppm) in thawed vacuum-packed yellowfin tuna loins (Thunnus albacares) from Spain,02-10-2023 17:16:31,Portugal,information notification for attention,serious,"Cyprus,France,Hungary,Italy,Monaco,Northern Ireland,Portugal,Slovenia,Spain,United Kingdom","Cyprus,France,Hungary,Italy,Monaco,Northern Ireland,Slovenia,Spain","Portugal,United Kingdom","Italy,Portugal,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2023.6611,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6611,"dietetic foods, food supplements and fortified foods",food,"Exceeding the MRL Mercury in the Ginko Biloba product, origin China.via Olanda///Depasire LMA Mercur in produsul Ginko Biloba, origine China, via Olanda",29-09-2023 15:06:07,Romania,alert notification,serious,"Austria,Bulgaria,Cyprus,Denmark,Estonia,Germany,Greece,Italy,Lithuania,Moldova,Norway,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom","Germany,INFOSAN,Netherlands,Poland,Romania","Austria,Bulgaria,Cyprus,Denmark,Estonia,Germany,Greece,Italy,Lithuania,Moldova,Netherlands,Norway,Romania,Slovakia,Slovenia,Spain,Sweden","Netherlands,Romania",China,mercury,A03SJ,Food supplements and similar preparations,1,,,,
2023.6294,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6294,fish and fish products,food,MERCURIO IN FILONI DI TONNO A PINNE GIALLE/mercury in chilled tuna (Thunnus albacares) loins from Spain,15-09-2023 15:59:52,Italy,information notification for attention,serious,Spain,"Colombia,INFOSAN,Italy,Spain",,"Colombia,Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2023.6289,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6289,fish and fish products,food,Mercurio en atún de Marruecos. Mercury in tuna from Morocco,15-09-2023 15:06:36,Spain,information notification for attention,serious,,INFOSAN,,"Morocco,Spain",Morocco,mercury,A02DX,Tuna,1,,,,
2023.6279,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6279,fish and fish products,food,Mercury above legal limits in swordfish  from Spain,15-09-2023 12:23:37,Italy,information notification for attention,serious,"Bahamas,Belgium,Congo (Brazzaville),Cyprus,Germany,Italy,Netherlands,Philippines,Qatar,Spain,United States","Belgium,Cyprus,Germany,INFOSAN,Netherlands,Philippines,Spain",Italy,"Italy,Netherlands,Portugal,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2023.6261,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6261,"dietetic foods, food supplements and fortified foods",food,przekroczenie NDP rtęci w suplementach diety z Polski // exceeding the MRL for mercury in food supplements from Poland,14-09-2023 16:45:44,Poland,information notification for follow-up,not serious,"Bulgaria,Croatia,Czech Republic,Germany,Greece,Hungary,Italy,Kazakhstan,Lithuania,Netherlands,Poland,Portugal,Slovakia,Slovenia,Switzerland","INFOSAN,Poland","Bulgaria,Croatia,Czech Republic,Germany,Greece,Hungary,Italy,Kazakhstan,Lithuania,Netherlands,Portugal,Slovakia,Slovenia,Switzerland",Poland,Poland,mercury,A03SJ,Food supplements and similar preparations,1,,,,
2023.6249,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6249,"dietetic foods, food supplements and fortified foods",food,Lead and mercury in ayurvedic food supplements from India,14-09-2023 12:15:03,Germany,information notification for attention,serious,Germany,"INFOSAN,India",,"Germany,India",India,"arsenic  ,lead  high content,mercury",A03SJ,Food supplements and similar preparations,1,,,,
2023.6223,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6223,"dietetic foods, food supplements and fortified foods",food,przekroczenie NDP rtęci w suplemencie diety z Polski // exceeding the MRL for mercury in food supplements from Poland,13-09-2023 13:48:56,Poland,information notification for follow-up,not serious,"Bulgaria,Poland",,Bulgaria,Poland,Poland,mercury,A03SJ,Food supplements and similar preparations,1,,,,
2023.6218,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6218,fish and fish products,food,Mercurio en mero (Epinephelus guaza) de Túnez. Mercury in grouper fish (Epinephelus guaza) from Tunisia.,13-09-2023 11:49:15,Spain,information notification for attention,serious,Spain,,,"Spain,Tunisia",Tunisia,mercury,A026V,Fish (meat),1,,,,
2023.6205,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6205,"dietetic foods, food supplements and fortified foods",food,Mercury and pesticides residues  in food supplements from India,13-09-2023 09:27:35,Croatia,border rejection notification,potential risk,Croatia,India,,"Croatia,India",India,"acetamiprid  ,malathion  ,mercury",A03SJ,Food supplements and similar preparations,1,,,,
2023.6136,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6136,"dietetic foods, food supplements and fortified foods",food,"przekroczenie NDP rtęci (0,2271mg/kg ± 0,0318 mg/kg) w suplemencie diety z Polski/// exceeding the MRL for mercury (0.2271mg/kg ± 0.0318 mg/kg) in a food supplement from Poland",08-09-2023 14:27:33,Poland,information notification for follow-up,not serious,"Albania,Bulgaria,Germany,Greece,Italy,Netherlands,Poland,Romania,United Kingdom","Albania,Belgium,Bulgaria,China,Greece,Italy,Netherlands,Poland,Romania,United Kingdom",,"China,Poland,Romania,United Kingdom","China,Poland",mercury,A03SJ,Food supplements and similar preparations,1,,,,
2023.6072,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6072,fish and fish products,food,mercury in fresh swordfish,06-09-2023 11:01:15,Belgium,information notification for attention,serious,"Belgium,Germany,Switzerland","Belgium,Germany,Switzerland",Netherlands,"Belgium,Netherlands",,mercury,A07Y0,Swordfish,1,,,,
2023.6054,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.6054,fish and fish products,food,mercury in tuna loin from Spain,05-09-2023 15:48:10,Italy,information notification for attention,serious,Italy,"Italy,Spain",,"Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2023.5833,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.5833,fish and fish products,food,Mercurio en Pagrus Pagrus de Marruecos. Mercury in Pagrus Pagrus from Morocco.,29-08-2023 09:23:21,Spain,information notification for attention,serious,,,,"Morocco,Spain",Morocco,mercury,A029V,Sea bream,1,,,,
2023.583,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.583,fish and fish products,food,Mercurio en atún de Marruecos. Mercury in tuna from Morocco,29-08-2023 08:50:01,Spain,information notification for attention,serious,,,,"Morocco,Spain",Morocco,mercury,A02DX,Tuna,1,,,,
2023.5827,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.5827,fish and fish products,food,Mercury in see bream (Sparus aurata),28-08-2023 17:18:12,Slovenia,information notification for attention,serious,Slovenia,"Italy,Slovenia",,"Italy,Slovenia",Italy,mercury,A029V,Sea bream,1,,,,
2023.5809,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.5809,fish and fish products,food,Presence of mercury above legal limits in yellow-fin tuna from Spain,28-08-2023 14:34:31,Italy,information notification for attention,serious,Italy,"Italy,Spain",Italy,"Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2023.5456,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.5456,fish and fish products,food,"Mercury in shark fins of unknown origin, via the Netherlands",11-08-2023 11:42:16,Germany,alert notification,serious,"Belgium,Germany,Greece,Italy,Malta,Netherlands",Spain,"Belgium,Germany,Greece,Italy,Malta,Netherlands,Spain","Belgium,Germany,Italy,Netherlands,Spain",Spain,mercury,A02DJ,Sharks,1,,,,
2023.5095,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.5095,fish and fish products,food,Mercury in frozen swordfish loins from Spain,27-07-2023 14:30:25,Netherlands,alert notification,serious,"Belgium,Denmark,France,Germany,Italy,Netherlands,Romania,Slovenia,Spain,Sweden,Switzerland",Netherlands,"Belgium,Denmark,France,Germany,Italy,Romania,Slovenia,Spain,Sweden,Switzerland","Italy,Netherlands,Romania,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2023.5012,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.5012,fish and fish products,food,Presencia de mercurio en corvina (Argyrostomus regius)Presence of Mercury in Argyrostomus regius from Mauritania.,25-07-2023 17:21:25,Spain,information notification for attention,serious,,"INFOSAN,Mauritania",,"Mauritania,Spain",Mauritania,mercury,A02GX,"Water snails, conches and whelks",1,,,,
2023.4713,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.4713,fish and fish products,food,Mercury in swordfish from Spain via France,12-07-2023 17:17:51,Belgium,information notification for attention,potentially serious,"Belgium,Croatia,France,Italy,Spain","France,Spain",,"Belgium,France,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2023.4709,Contaminants,Mercury,Mercury,mercury,,Metals and other elements,2023.4709,fish and fish products,food,Mercury in swordfish from Spain,12-07-2023 16:35:38,Belgium,information notification for attention,potentially serious,"Belgium,Netherlands,Spain","Netherlands,Spain",,"Belgium,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2024.495,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.495,fish and fish products,food,Mercurio in tranci di verdesca congelati   Mercury in frozen blue shark slices,27-06-2024 15:58:28,Italy,alert notification,serious,,,,"Italy,Portugal",Portugal,mercury,A02DJ,Sharks,1,,,,
2024.4745,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.4745,fish and fish products,food,Mercurio oltre i limiti  in pesce smeriglio surgelato (Isurus Oxyrhincus) dal Portogallo//Mercury above limits in frozen porbeagle fish (Isurus Oxyrhincus) from Portugal,20-06-2024 15:09:24,Italy,alert notification,serious,Italy,,,"Italy,Portugal",Portugal,mercury,A026V,Fish (meat),1,,,,
2024.4418,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.4418,fish and fish products,food,superamento limiti di mercurio in trance di verdesca congelata proveniente dal Portogallo/ High level of mercury in slices of frozen blue shark (Prionace glauca) from Portugal,07-06-2024 14:39:15,Italy,alert notification,serious,,"Italy,Portugal",Portugal,"Italy,Portugal",Portugal,mercury,A02DJ,Sharks,1,,,,
2024.4369,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.4369,fish and fish products,food,"Mercurio (0,73 ±0,15 mg/kg) oltre i limiti in Rana pescatrice (Lophius piscatorius) dalla Francia - High level of mercury (0,73 ±0,15 mg/kg)in monkfish Lophius piscatorius from France",06-06-2024 11:50:25,Italy,information notification for attention,serious,,,,"France,Italy",France,mercury,A02BJ,Anglerfish and monkfish,1,,,,
2024.3425,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.3425,fish and fish products,food,Mercurio in pesce spada/Mercury above legal limit in defrosted and marinated swordfish (Xiphias gladius) loins,29-04-2024 16:15:51,Italy,alert notification,potentially serious,"Austria,France,Germany,Italy,Netherlands,Portugal,Spain","France,Italy,Portugal","Austria,Germany,Italy,Netherlands,Spain","Italy,Spain",,,A07Y0,Swordfish,1,,,,
2024.3253,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.3253,fish and fish products,food,Presence of mercury beyond the permitted limits in frozen tuna fillets  Presenza di mercurio oltre i limiti consentiti in filetti di tonno congelato //Elevado nivel de mercurio en filetes de atún congelados procedentes de España,23-04-2024 15:13:54,Italy,alert notification,serious,Spain,INFOSAN,Spain,"Ecuador,Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2024.315,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.315,fish and fish products,food,Mercurio en pez espada (Xiphias gladius) procedente de España//Mercury in swordfish (Xiphias gladius) from Spain,18-04-2024 17:33:33,Spain,information notification for attention,serious,"Gibraltar,Spain",INFOSAN,,Spain,Spain,mercury,A07Y0,Swordfish,1,,,,
2024.3055,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.3055,fish and fish products,food,Mercury above limits in refrigerated bluefin tuna (Thunnus thinnus) from Spain/Mercurio oltre i limiti inTonno rosso (Thunnus thinnus) refrigerato  provenienza Spagna,16-04-2024 15:21:04,Italy,information notification for attention,serious,,,,"Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2024.2087,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.2087,fish and fish products,food,Mercurio en pez espada procedente de España//Mercury in swordfish from Spain,19-03-2024 13:38:33,Spain,information notification for attention,serious,"Italy,Spain",Italy,,Spain,Spain,mercury,A07Y0,Swordfish,1,,,,
2024.1996,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.1996,fish and fish products,food,superamento limiti di mercurio in entrecote di tonno a pinne gialle congelato proveniente dalla spagna/exceeding mercury limits in frozen yellowfin tuna entrecote from Spain,15-03-2024 16:51:51,Italy,alert notification,serious,Spain,Italy,Spain,"Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2024.1896,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.1896,fish and fish products,food,Mercurio en pez espada procedente de España / Mercury in swordfish from Spain,13-03-2024 16:22:27,Spain,alert notification,serious,"Gibraltar,Italy,Portugal,Spain",INFOSAN,"Italy,Portugal","Italy,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2024.1631,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.1631,fish and fish products,food,Mercurio por encima del límite legal en rodajas de pez espada ( Xiphias gladius) congelados procedentes de España / Mercury above the legal limit in frozen swordfish ( Xiphias gladius) slices from Spain,07-03-2024 12:28:15,Spain,alert notification,serious,"Italy,Spain",,Italy,"Italy,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2024.1058,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.1058,fish and fish products,food,Mercury presence beyond limits in refrigerated swordfish loinspresenza Mercurio oltre i limiti in Filoni  Pesce Spada refrigerati,15-02-2024 10:54:37,Italy,information notification for attention,serious,Spain,Spain,,"Italy,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2024.0915,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.0915,fish and fish products,food,"Mercury (1.6  ±  0.4 mg/kg) above limits in swordfish loin (Xiphias gladius) from Spain//Mercurio (1,6 ± 0,4 mg/kg) en lomos de pez espada (Xiphias gladius) procedentes de España",08-02-2024 16:53:03,Italy,alert notification,serious,"Austria,France,Germany,Italy,Netherlands,Poland,Portugal,Singapore,Spain,Switzerland,United Kingdom","France,Germany,INFOSAN,Italy,Netherlands,Poland,Portugal,Spain,Switzerland,United Kingdom","Austria,Germany,Italy,Singapore,Spain,United Kingdom","Italy,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2024.091,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.091,fish and fish products,food,Mercury above limits in refrigerated bluefin tuna (Thunnus thinnus) from SpainMercurio oltre i limiti inTonno rosso (Thunnus thinnus) refrigerato provenienza Spagna,08-02-2024 16:10:11,Italy,alert notification,serious,Italy,Spain,"Italy,Spain","Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2024.0757,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.0757,crustaceans and products thereof,food,Presencia de mercurio por encima del límite establecido en Bogavantes (Homarus gammarus) de Reino Unido. Presence of mercury above the limit in lobsters (Homarus gammarus) from United Kingdom.,02-02-2024 15:39:30,Spain,information notification for attention,serious,,United Kingdom,Spain,United Kingdom,United Kingdom,mercury,A02FP,Lobsters,1,,,,
2024.0045,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2024.0045,fish and fish products,food,Mercurio in pesce spada origine Spagna/mercury above legal limit  in chilled swordfish (Xyphias gladius) from Spain,03-01-2024 16:45:55,Italy,information notification for attention,serious,,Italy,,"Italy,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2023.8523,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.8523,fish and fish products,food,Mercurio oltre i limiti in Tonno rosso refrigerato origine Spagna/Mercury above limits in chilled bluefin tuna (Thunnus thynnus) from  Spain,11-12-2023 17:48:34,Italy,information notification for attention,serious,,"Italy,Spain",,"Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2023.8301,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.8301,fish and fish products,food,Presenza di  mercurio (2.5 mg/Kg) superiore ai limiti di legge in pesce spada congelato con origine Indonesia//Presence of mercury (2.5 mg/Kg) above the legal limits in frozen swordfish of Indonesian origin,01-12-2023 16:05:16,Italy,information notification for attention,serious,Italy,"INFOSAN,Indonesia",,"Indonesia,Italy",Indonesia,mercury,A07Y0,Swordfish,1,,,,
2023.8299,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.8299,fish and fish products,food,Mercurio (1.3 ± 0.2 mg/kg)  oltre i limiti in Tonno rosso fresco origine Spagna//Mercury (1.3 ± 0.2 mg/kg) above the limits in fresh bluefin tuna from Spain,01-12-2023 15:45:21,Italy,information notification for attention,serious,"France,Italy,Spain","France,Italy,Spain",,"Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2023.8209,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.8209,fish and fish products,food,Mercurio (1.6 mg/kg) oltre i limiti in filoni di tonno decongelato marinato dalla Spagna//Mercury (1.6 mg/kg) above limits in defrosted marinated tuna loins from Spain,28-11-2023 13:26:37,Italy,information notification for attention,serious,Italy,,Spain,"Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2023.8111,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.8111,fish and fish products,food,Mercurio oltre i limiti (1.7±0.4 mg/kg) in pesce spada refrigerato dalla Spagna//Mercury above limits (1.7±0.4 mg/kg) in refrigerated swordfish from Spain,23-11-2023 15:21:54,Italy,information notification for attention,serious,,"Italy,Spain",,"Italy,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2023.8101,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.8101,fish and fish products,food,Mercurio en rodaja de caella (Prionace glauca) congelada procedente de España / Mercury in slices of frozen caella (Prionace glauca) from Spain,23-11-2023 13:43:04,Spain,alert notification,serious,"France,Hungary,Spain",,"France,Hungary,Portugal","Hungary,Spain",Spain,mercury,A02DJ,Sharks,1,,,,
2023.7975,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.7975,fish and fish products,food,Mercurio in pesce spada origine Spagna/mercury in swordfish orign Spain,17-11-2023 16:44:25,Italy,information notification for attention,serious,"Italy,Spain","Italy,Spain",,"Italy,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2023.7824,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.7824,fish and fish products,food,Mercury above the legal limit in frozen shortfin mako (Isurus oxyrinchus) from Spain / Mercurio por encima del límite legal en marrajo (Isurus oxyrinchus) congelado procedente de España,13-11-2023 14:42:32,Spain,alert notification,serious,"France,Spain",,France,Spain,Spain,mercury,A02DJ,Sharks,1,,,,
2023.7309,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.7309,fish and fish products,food,presenza Mercurio oltre i limiti in Filoni  Pesce Spada refrigerati,26-10-2023 12:15:51,Italy,information notification for attention,serious,"Croatia,France,Germany,Italy,Portugal,Slovenia,Spain","Croatia,France,Germany,Italy,Portugal,Slovenia,Spain",,"Croatia,Italy,Portugal,Slovenia,Spain",Spain,mercury,A07Y0,Swordfish,1,,,,
2023.6294,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.6294,fish and fish products,food,MERCURIO IN FILONI DI TONNO A PINNE GIALLE/mercury in chilled tuna (Thunnus albacares) loins from Spain,15-09-2023 15:59:52,Italy,information notification for attention,serious,Spain,"Colombia,INFOSAN,Italy,Spain",,"Colombia,Italy,Spain",Spain,mercury,A02DX,Tuna,1,,,,
2023.6289,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.6289,fish and fish products,food,Mercurio en atún de Marruecos. Mercury in tuna from Morocco,15-09-2023 15:06:36,Spain,information notification for attention,serious,,INFOSAN,,"Morocco,Spain",Morocco,mercury,A02DX,Tuna,1,,,,
2023.6218,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.6218,fish and fish products,food,Mercurio en mero (Epinephelus guaza) de Túnez. Mercury in grouper fish (Epinephelus guaza) from Tunisia.,13-09-2023 11:49:15,Spain,information notification for attention,serious,Spain,,,"Spain,Tunisia",Tunisia,mercury,A0FAS,Groupers,1,,,,
2023.5833,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.5833,fish and fish products,food,Mercurio en Pagrus Pagrus de Marruecos. Mercury in Pagrus Pagrus from Morocco.,29-08-2023 09:23:21,Spain,information notification for attention,serious,,,,"Morocco,Spain",Morocco,mercury,A029V,Sea bream,1,,,,
2023.583,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.583,fish and fish products,food,Mercurio en atún de Marruecos. Mercury in tuna from Morocco,29-08-2023 08:50:01,Spain,information notification for attention,serious,,,,"Morocco,Spain",Morocco,mercury,A02DX,Tuna,1,,,,
2023.5012,Contaminants,Mercury,Mercury,mercurio,,Metals and other elements,2023.5012,fish and fish products,food,Presencia de mercurio en corvina (Argyrostomus regius)Presence of Mercury in Argyrostomus regius from Mauritania.,25-07-2023 17:21:25,Spain,information notification for attention,serious,,"INFOSAN,Mauritania",,"Mauritania,Spain",Mauritania,mercury,A02GX,"Water snails, conches and whelks",1,,,,
2024.4899,Contaminants,Arsenic,Arsenic,arsen,,Metals and other elements,2024.4899,fish and fish products,food,"exceedance of arsenic in catfish, from Suriname",26-06-2024 15:43:06,Netherlands,alert notification,serious,"Belgium,Denmark,Estonia,Finland,France,Germany,Netherlands,Sweden",INFOSAN,"Belgium,Denmark,Estonia,Finland,France,Germany,Netherlands,Suriname,Sweden","Netherlands,Suriname",Suriname,arsenic,A0FBD,Sea catfishes,1,,,,
2023.7348,Contaminants,Arsenic,Arsenic,arsen,,Metals and other elements,2023.7348,bivalve molluscs and products thereof,food,"High amount of arsenic in green-lipped mussel, from New Zealand.",27-10-2023 12:52:15,Netherlands,information notification for attention,serious,Netherlands,INFOSAN,,"Netherlands,New Zealand",New Zealand,arsenic,A02HF,Mussels,1,,,,
2023.578,Contaminants,Arsenic,Arsenic,arsen,,Metals and other elements,2023.578,natural mineral waters,food,Elevated levels of arsenic in mineral water from Turkey,25-08-2023 16:30:53,Germany,alert notification,serious,"Austria,Germany",INFOSAN,Austria,"Germany,Türkiye",Türkiye,arsenic,A03DQ,Natural mineral water,1,,,,
2023.5195,Contaminants,Nickel,Nickel,nickel,,Metals and other elements,2023.5195,"dietetic foods, food supplements and fortified foods",food,"Unauthorised substances silver, nickel, tin and bismuth in various food supplements from Austria",01-08-2023 14:24:33,Slovenia,information notification for follow-up,not serious,Slovenia,Austria,Austria,"Austria,Slovenia",Austria,,A03SJ,Food supplements and similar preparations,1,,,,
2024.4351,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2024.4351,other food product / mixed,food,"High iodine content in dried seaweed from China, via the Netherlands",05-06-2024 17:29:03,Germany,alert notification,serious,"Germany,Netherlands",INFOSAN,"Germany,Netherlands","China,Germany,Netherlands",China,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2024.2697,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2024.2697,prepared dishes and snacks,food,High iodine content in seasoned seaweed from South Korea,05-04-2024 15:25:20,Slovenia,information notification for follow-up,potentially serious,,"Hungary,Poland,Slovenia","Hungary,Poland,South Korea","Hungary,Poland,South Korea",South Korea,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2024.071,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2024.071,fruits and vegetables,food,"High iodine content in dried seaweed from Hong Kong, via the Netherlands",01-02-2024 11:34:35,Germany,alert notification,serious,"Belgium,Denmark,Finland,France,Germany,Ireland,Netherlands,Northern Ireland,Norway,Poland,Spain","Hong Kong,INFOSAN,Netherlands","Belgium,Denmark,Finland,France,Germany,Ireland,Netherlands,Northern Ireland,Norway,Poland,Spain","Germany,Hong Kong,Netherlands","China,Hong Kong",iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2024.0575,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2024.0575,other food product / mixed,food,presence of iodine (25141.6 mg/Kg) in dehydrated Kombu seaweed,25-01-2024 17:16:14,Italy,alert notification,serious,Germany,INFOSAN,"China,Germany,Hong Kong","China,Hong Kong,Italy",China,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2023.8374,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2023.8374,fruits and vegetables,food,"High iodine content in dried seaweed from South Korea, via the Netherlands",05-12-2023 17:09:12,Austria,alert notification,serious,"Aruba,Austria,Cyprus,Finland,France,Germany,Greece,Hungary,Ireland,Lithuania,Netherlands,Poland,Spain,Sweden,Switzerland","INFOSAN,Netherlands","Austria,Cyprus,Finland,France,Germany,Greece,Hungary,Ireland,Lithuania,Netherlands,Poland,South Korea,Spain,Sweden,Switzerland","Austria,Netherlands,South Korea",South Korea,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2023.8367,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2023.8367,fruits and vegetables,food,"High iodine content in dehydrated algae from China, via Italy",05-12-2023 16:17:14,Austria,alert notification,serious,"Austria,Italy","China,INFOSAN",China,"Austria,China,Italy,Romania",China,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2023.8291,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2023.8291,other food product / mixed,food,"High iodine content in dried seaweed from South Korea, via the Netherlands",01-12-2023 14:39:43,Germany,alert notification,serious,"Germany,Netherlands",Netherlands,"Germany,Netherlands","Germany,Netherlands,South Korea",South Korea,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2023.8286,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2023.8286,other food product / mixed,food,High iodine content in dried seaweed from the Republic of Korea,01-12-2023 14:10:22,Germany,alert notification,serious,"Germany,Netherlands","Germany,Netherlands",Germany,"Germany,Netherlands,South Korea",South Korea,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2023.7447,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2023.7447,other food product / mixed,food,Excessive iodine content in dried seaweed from Italy,31-10-2023 16:22:11,Germany,alert notification,serious,Italy,,Italy,Italy,Italy,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2023.6877,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2023.6877,other food product / mixed,food,Increased iodine content in frozen seaweed salad from China,10-10-2023 15:58:28,Germany,information notification for attention,potential risk,,China,,"China,Germany",China,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2023.6858,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2023.6858,other food product / mixed,food,High iodine content in seaweed salad from China,10-10-2023 10:49:41,Germany,information notification for attention,potential risk,Germany,,,"China,Germany",China,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
2023.5496,Contaminants,Iodine,Iodine,iodine,,Metals and other elements,2023.5496,fruits and vegetables,food,"High iodine content in dried seaweed from China, via the Netherlands",14-08-2023 13:13:25,Germany,alert notification,serious,Germany,"China,INFOSAN","Germany,Netherlands","China,Germany,Netherlands",China,iodine  high content,A00VA,Algae and prokaryotes organisms,1,,,,
